[I 2025-11-21 15:55:07,242] Trial 0 finished with value: 1.224674940109253 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 8, 'distil': False, 'activation': 'gelu', 'encoder_layers': 1, 'decoder_layers': 1}. Best is trial 0 with value: 1.224674940109253.
[I 2025-11-21 15:56:27,720] Trial 11 finished with value: 1.4667820930480957 and parameters: {'hidden_size': 32, 'n_head': 2, 'dropout': 0.2, 'conv_hidden_size': 8, 'distil': False, 'activation': 'relu', 'encoder_layers': 1, 'decoder_layers': 2}. Best is trial 0 with value: 1.224674940109253.
[I 2025-11-21 15:56:34,297] Trial 12 finished with value: 1.208376169204712 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 32, 'distil': False, 'activation': 'relu', 'encoder_layers': 1, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
[I 2025-11-21 15:56:40,869] Trial 13 finished with value: 1.2297508716583252 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.4, 'conv_hidden_size': 8, 'distil': False, 'activation': 'relu', 'encoder_layers': 1, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
[I 2025-11-21 15:56:54,796] Trial 14 finished with value: 1.2086669206619263 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 32, 'distil': False, 'activation': 'gelu', 'encoder_layers': 6, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
[I 2025-11-21 15:57:08,748] Trial 15 finished with value: 1.2101536989212036 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 32, 'distil': False, 'activation': 'relu', 'encoder_layers': 6, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
[I 2025-11-21 15:57:22,779] Trial 16 finished with value: 1.2101551294326782 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 32, 'distil': False, 'activation': 'relu', 'encoder_layers': 6, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
[I 2025-11-21 15:57:32,854] Trial 17 finished with value: 1.2700492143630981 and parameters: {'hidden_size': 256, 'n_head': 4, 'dropout': 0.2, 'conv_hidden_size': 32, 'distil': False, 'activation': 'gelu', 'encoder_layers': 3, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
[I 2025-11-21 15:57:36,743] Trial 18 finished with value: 1.3684728145599365 and parameters: {'hidden_size': 64, 'n_head': 8, 'dropout': 0.5, 'conv_hidden_size': 32, 'distil': True, 'activation': 'relu', 'encoder_layers': 6, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
[I 2025-11-21 15:57:40,650] Trial 19 finished with value: 1.309575080871582 and parameters: {'hidden_size': 32, 'n_head': 2, 'dropout': 0.4, 'conv_hidden_size': 64, 'distil': False, 'activation': 'gelu', 'encoder_layers': 6, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
[I 2025-11-21 15:57:50,171] Trial 20 finished with value: 1.2280397415161133 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 16, 'distil': False, 'activation': 'gelu', 'encoder_layers': 3, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
[I 2025-11-21 15:58:04,144] Trial 21 finished with value: 1.2101553678512573 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 32, 'distil': False, 'activation': 'relu', 'encoder_layers': 6, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
[I 2025-11-21 15:58:18,162] Trial 22 finished with value: 1.2101507186889648 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 32, 'distil': False, 'activation': 'relu', 'encoder_layers': 6, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
[I 2025-11-21 15:58:32,287] Trial 23 finished with value: 1.2101538181304932 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 32, 'distil': False, 'activation': 'relu', 'encoder_layers': 6, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
[I 2025-11-21 15:58:46,359] Trial 24 finished with value: 1.2101521492004395 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 32, 'distil': False, 'activation': 'relu', 'encoder_layers': 6, 'decoder_layers': 1}. Best is trial 12 with value: 1.208376169204712.
{'input_size': 168, 'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 32, 'distil': False, 'activation': 'relu', 'encoder_layers': 1, 'decoder_layers': 1}
